YEAR,STATE,ZIPCODE,N1,MARS2,A00100,N04470,A04470,N18425,A18425,N04800,A04800,N07100,A07100
2011,VA,24091,3205,1546,140178,785,15428,689,3178,2337,85373,939,981
2011,VA,24092,1214,547,47407,278,5302,251,862,915,26777,382,381
2011,VA,24095,1970,966,95974,637,12047,574,2344,1583,60550,635,623
2011,VA,24101,2839,1541,157983,1093,22730,967,4231,2295,102406,896,906
2011,VA,24102,622,287,21593,118,1884,105,333,446,11648,193,180
2011,VA,24104,1539,836,84209,576,12789,478,2134,1187,54064,406,369
2011,VA,24105,199,110,7671,33,481,32,94,145,4375,69,68
2011,VA,24112,12733,4581,495464,2698,56998,2374,10759,8720,287481,3678,3833
2011,VA,24120,726,378,28787,130,2408,105,443,504,16842,183,148
2011,VA,24121,4733,2627,344291,2049,53443,1698,11229,3753,240778,1436,1353
2011,VA,24122,826,393,34069,190,3330,172,606,664,20440,251,227
2011,VA,24124,1798,837,72591,272,4466,248,925,1354,44054,498,552
2011,VA,24127,1796,858,75238,464,7788,420,1515,1354,45564,483,509
2011,VA,24128,829,426,43133,251,4965,229,992,681,28268,259,263
2011,VA,24133,1120,531,36637,149,2513,135,400,780,19216,323,302
2011,VA,24134,2452,1106,109205,527,9420,481,2115,1921,68524,737,858
2011,VA,24136,1482,658,63876,314,5645,286,1233,1135,39529,432,451
2011,VA,24137,1076,557,61520,318,9224,268,1965,788,39519,321,289
2011,VA,24138,656,363,29517,181,3003,161,528,504,18130,189,247
2011,VA,24139,234,98,8378,43,762,36,108,167,4635,62,62
2011,VA,24141,7383,2881,374707,1965,39087,1793,10134,5641,252402,2206,2607
2011,VA,24147,422,181,15897,46,694,39,139,313,9378,125,142
2011,VA,24148,3372,1498,127119,666,12352,606,2239,2436,72523,1026,963
2011,VA,24149,1553,843,81416,530,10901,484,2346,1256,51522,540,601
2011,VA,24150,300,139,11761,55,790,43,126,228,7124,76,75
2011,VA,24151,8161,3351,321502,1800,34609,1619,6473,5966,186375,2528,2417
2011,VA,24153,17235,7542,920931,6255,130219,5627,26519,13634,600708,5599,6451
2011,VA,24161,145,75,5124,0.0001,0.0001,0.0001,0.0001,102,2760,36,31
2011,VA,24162,977,475,43015,242,4814,224,1106,744,25996,298,360
2011,VA,24165,747,358,27158,130,2167,109,381,554,14996,238,221
2011,VA,24167,150,67,5518,21,277,0.0001,0.0001,113,3096,46,33
2011,VA,24168,394,156,12479,56,1095,53,198,249,6081,120,75
2011,VA,24171,3156,1546,124022,634,12310,545,2283,2299,69491,932,921
2011,VA,24174,1069,489,42050,248,4295,229,792,830,24505,324,295
2011,VA,24175,3696,1996,215730,1505,31232,1371,6350,3029,141380,1285,1436
2011,VA,24176,600,363,42024,287,7830,229,1283,482,27987,172,100
2011,VA,24179,8846,3862,395726,2777,50258,2455,9492,6869,243310,2803,3179
