ZIPCODE,State,City,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
23325,VA,Chesapeake,121477,120152,118601,116244,113312,110505,107644,105139,102723,100032,98085,97432,97523,97720,97751,97276,97761,98469,99784,101047,102153,103375,104002,103294,102141,100887,100446,99849,99470,99354,99174,99197,99898,101571,103230,104509,105109,105061,104707,104974,105753,106556,107048,107385,107701,107803,107582,107593,108073,109248,110110,110843,110915,111132,111152,111346,111507,111543,111924,112263,112792,113021,113512,113126,113091,113081,114147,115192,115824,116391,116891,117961,118776,119616,120147,121086,121939,122830,123393,123914,124896,125873,126996,127600,128595,129463,130788,132233,133588,134472,135089,136057,137372,138968,140524,142056,143535,145062,146648,148130,150130,152699,155886,158937,161781,164348,166737,169191,171715,175189,178546,182666,186693,191071,194441,198019,201079,204622,207923,211690,214753,217391,219893,221282,222309,222829,224510,225363,226031,225758,226256,227640,230132,231644,232117,233310,233912,234605,234290,235018,236016,236661,236767,235145,232905,230953,230540,229688,229640,228948,228768,227092,225064,223940,222640,222108,220973,220040,218086,216044,213989,212632,211398,210775,210300,209472,209387,208726,208858,209006,208952,208975,208012,206953,205006,203360,202092,200642,199135,198073,196771,194935,193668,192189,191251,190059,189874,189650,189170,189122,188001,186893,184983,184497,184062,184388,184717,184600,183783,182837,182143,181899,182416,182869,184277,184608,184739,184392,184185,184712,184841,185344,186194,186671,186943,186897,187203,187820,188469,188902,189559,190312,191809,192798,193147,193154,193630,194480,194399,193648,192851,192568,192380,192112,192249,192572,192749,192977,192149,191292,190935,191463,192365,192871,193464,193708,193495,193273,193456,193797,195025,196240,197977,199634,200768,201855,201974,202690,203142,203720,204240,204575,205115,205270,204115,202617,201978,202112,202987,203280,203883,204713,205237,206180,207055,208416,209923,211046,211828,212528,213331,213950,214692,214828,215537,216024,216371,216598,217295,218525,219752,220755,221561,222762
23508,VA,Norfolk,117358,117803,118158,118611,118596,118470,118312,118275,118300,118488,118879,118828,118720,118362,118030,117514,117483,117734,118542,118731,118766,118239,117513,117796,118169,118380,117863,117947,118571,118777,117999,117866,117872,118695,119357,119302,118884,118973,120099,121428,121732,122345,123165,124173,125096,125200,125439,125695,127082,128383,129391,129489,129890,130329,131106,131294,131163,131679,132334,133405,133792,134251,134797,135588,136668,137905,139369,140820,142539,143792,145227,146290,147457,148437,149352,150750,152019,152868,152663,152918,153611,154792,156130,157376,159246,161043,163242,164803,166352,167837,170171,172488,174510,176943,178932,182029,184777,188113,190936,194076,196876,200465,204244,209473,214456,219268,223429,227456,231783,236036,240280,245212,251598,258680,265368,269742,274686,278366,283666,287779,291037,293850,296561,299364,301311,301972,303372,304474,305355,306188,307450,308519,309679,310076,311617,312669,312734,311690,309780,309160,308164,307355,304709,302569,301035,300090,298344,296221,295005,294892,294569,293612,292680,291949,291604,290801,289819,288771,287625,285953,284052,282070,280907,280011,279780,279506,279373,279030,278854,278667,278226,278320,278169,278282,276990,275724,273441,271628,269450,267811,265052,262746,260902,259517,258438,256851,255970,254634,253544,252687,252158,251996,252502,252592,252922,252587,252274,252065,252199,252460,253299,253816,254730,254927,255168,255747,255389,255083,254682,254840,255357,255041,255276,254586,254098,253924,254859,255638,256283,257016,258123,259088,259318,261354,261281,262134,262338,262885,262018,260470,260479,260513,260092,259043,258374,257711,258374,259156,259547,259437,259406,260572,261190,261981,262247,262809,263303,263175,263275,263420,264174,265089,266275,266585,266541,266698,268226,269835,270925,271597,271756,271924,271659,271864,272073,272940,274101,275289,275643,275959,276321,277038,277926,279041,280665,281775,282556,284227,285653,286886,286683,286735,287170,288111,288969,289669,290128,290820,291783,291955,292348,292912,294815,296600
20895,MD,Kensington,237020,236555,236156,235399,234801,234604,234276,234334,234262,234471,234471,234956,234781,234571,233893,234091,234477,234641,235333,235527,235736,235551,235705,235127,235239,235689,237303,238095,238555,238657,238394,238303,238351,238536,238908,240000,241790,243761,245276,246171,246759,247489,248312,249288,251487,254253,257087,259097,260676,261935,263134,265143,267949,271047,274148,277500,280022,282600,285433,288701,292044,295343,299380,303379,307548,311382,316042,319931,323614,326641,329925,334045,338272,342309,345255,349010,353266,358191,363348,368918,374819,380592,386651,392366,397173,402149,407947,412743,416541,419874,422145,425282,428810,434565,439182,444123,448859,455131,460576,466812,473235,481909,491587,500479,509325,514260,521063,524923,533222,540633,548378,556531,563291,569498,575102,581861,588267,596353,601284,609217,613206,616673,620976,623896,628111,630094,630369,629774,626826,625048,624007,622512,620587,618655,616184,614002,611239,608378,605881,602479,600476,596403,593521,589338,585601,580303,574682,568342,561033,552232,545242,539061,534548,529695,524151,518580,513193,511115,507896,505204,503084,505353,509247,513743,515809,518170,518951,522361,525592,524568,525726,527312,533471,534820,532127,526577,522052,519710,520347,521048,522008,525958,527634,527896,523074,520040,519212,520931,523805,526475,527368,525354,521672,517327,516150,518010,521456,525786,530061,533836,535431,534715,534869,537961,543515,548626,551880,553009,556177,559305,561087,562208,564569,569759,574834,577219,579414,581655,583744,586337,585914,585156,584420,584893,585829,583905,582258,580086,578711,579091,580693,580972,579853,579767,581032,581107,579253,579324,580320,584131,585260,584000,580778,579739,581720,581721,581460,582105,586996,591154,593415,593591,596098,598426,602392,604047,605776,607424,608553,610137,609610,609992,609901,610041,606994,607869,608481,612534,613871,615483,617511,619387,620387,619472,618251,619888,625100,627646,626445,623573,624069,626566,627930,628139,629478,631899,635085,636243,635759,635437,637826,640205,641263,640696
24572,VA,Madison Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148568,149193,149830,150523,150319,149791,149486,149270,149411,149528,149923,149702,149113,148123,146712,145940,145963,146300,145940,145640,144527,143342,141543,140591,140076,139637,139193,138263,137665,136997,136657,135830,135253,134604,134116,133481,132882,132273,131751,131184,130578,129890,129364,128883,128610,128470,128481,128420,128205,128053,127805,127601,127263,127025,126701,126379,125985,125557,125124,124838,124786,124699,124703,124584,124589,124393,124230,124055,123872,123770,123666,123631,123551,123555,123583,123683,123772,123952,124134,124328,124597,124844,125141,125309,125405,125473,125525,125638,125840,126068,126323,126572,126817,127042,127264,127561,127937,128358,128779,129213,129503,129782,130007,130292,130553,130811,131026,131296,131657,131898,132133,132277,132562,132869,133253,133580,133945,134316,134778,135069,135245,135585,136011,136533,136948,137332,137739,138106,138493,138853,139185,139618,140070,140507,140922,141310,141736,142177,142856,143596,144278,144746,145174,145662,146081,146393,146584,146727,146988,147353,148104,148945,149873,150683,151511,152327,153003,153557,154109,154749,155390,155925,156009,155992,155918,156033,156127,156140,156240,156417
23005,VA,Ashland,,146557,145770,144935,143135,141639,141077,141097,141176,141117,141624,141529,141499,141587,142878,144434,146231,147419,147620,146890,146553,146189,145831,146342,147300,148253,147853,147471,147293,148145,149015,150727,152090,154149,155187,156524,157362,158124,158572,158910,159600,160157,160832,161254,161711,162424,163320,164268,165135,166236,167810,169252,170353,170284,170293,170363,170952,171567,172659,173800,174482,174703,173953,173848,173807,175153,175993,177365,178501,179504,180072,180339,181011,182010,183630,184939,186322,187026,188332,188868,189350,189576,190129,191177,192226,192964,192964,192900,192948,193652,194208,195255,196463,198600,200594,202339,203608,205123,207635,210081,212513,213777,215444,217178,219681,221321,223187,224934,227305,229612,231866,234488,237568,241249,244347,247394,249872,252432,254670,256948,259823,262968,265995,268462,270575,272978,275809,278101,279653,281433,283725,286537,287475,287648,286944,287091,286896,286858,286475,287053,287518,287857,287475,286655,286587,286261,287100,288766,290571,291028,290308,289300,288677,287682,285952,283234,280820,279503,278062,273086,268295,265409,264617,262102,259133,256310,255708,255657,255237,253474,250853,251789,252685,252207,249818,248890,248879,248723,247233,246052,244725,243170,242103,238939,235963,233335,232095,231096,229445,228959,227945,226764,224435,224287,223769,224408,224675,225141,225438,224957,224968,224305,224059,224267,226820,228460,230405,231215,232406,232808,233451,234770,236575,238227,240360,242309,243188,243737,243748,244137,243552,244516,245899,247348,247835,247783,247606,246839,246361,246165,247166,248605,250598,251571,251341,251169,250934,251272,251015,251321,251865,252015,251941,251923,252721,254011,255429,256458,257354,258519,260354,262196,263504,264857,265897,266602,266982,266763,266952,267171,268368,269391,270297,270889,272064,273389,274789,276585,277479,278391,278627,279630,280239,280952,281495,282852,283922,284443,284754,284335,285245,285970,287412,288067,288682,289239,289877,290043,290270,290856,291642,292847,293494,294348
23430,VA,Smithfield,132023,131918,131988,131960,131926,131729,131639,131617,131727,131809,131986,132233,132569,132948,133169,133405,133778,134435,135083,135754,136205,136734,137099,137624,138040,138576,138991,139558,140063,140445,140667,140713,141050,141471,142053,142196,142415,142414,142655,142909,143111,143676,144354,145219,145741,146082,146397,146970,147538,148362,149145,149769,150397,150868,151378,152154,153158,154393,155559,156734,158023,159096,160100,161182,162316,163512,164660,165554,166414,167026,167953,168860,169953,171121,172371,173659,174825,175965,177158,177924,178511,179135,180256,181592,182726,183538,184335,185228,186609,187839,189157,191065,193530,196388,198276,200089,201883,204392,207032,209692,212276,215403,218718,222464,225930,229360,233015,236709,240545,244782,249202,253809,257854,261796,265727,268537,270886,272776,275392,278177,280704,282396,283713,284893,286374,287539,288328,289302,290124,291240,291981,292976,293614,293952,294128,294326,293794,292805,291639,291392,291805,291763,290478,287691,285500,283953,282890,281098,279813,278724,277669,275913,273979,272564,271811,271575,271078,270136,268569,266857,265149,263475,262081,260813,259619,258033,256600,255366,254383,253364,252836,252780,252827,252939,252878,252503,251788,250840,250008,249322,248299,247283,245993,245401,244881,244437,243691,242992,242450,242161,242081,242061,242390,242712,243126,243143,243119,243384,243610,244344,244954,246453,247492,248566,249243,250302,251238,251334,251264,250752,251516,251755,252555,252260,252114,251767,251552,251583,251618,252700,253668,254713,254460,254642,254795,255176,255269,255308,255654,255291,254834,253920,253478,253233,253523,253847,253903,254152,254669,255052,255042,255227,256062,256924,257568,258062,258769,259259,259524,259611,259985,260785,261664,262653,263267,264138,264842,265579,266036,266431,267222,268056,269209,270267,271522,272250,272800,273208,273989,274687,275334,275924,276232,276626,277398,278836,280388,282003,283477,284912,285810,286673,287611,288751,289988,291119,291679,291637,291355,291204,291249,291253,291421,291520
20903,MD,Silver Spring,172627,172027,171583,170820,170129,169469,168703,168393,167996,167820,167459,167660,167288,167096,166741,166872,167113,167304,167888,167907,168096,168105,168449,168065,168494,168927,169681,169546,169458,169700,169705,169760,169621,169448,169455,169906,170527,171227,171918,172745,173179,173340,173553,174229,175928,177940,179558,180444,181162,181994,182489,182955,183973,185631,188185,189959,190915,191312,192823,194716,196586,197952,200198,202791,205276,206892,207835,209402,211419,213986,216060,218849,221507,224318,226123,228502,231737,235777,239792,243658,246873,250234,253457,256413,259659,263281,267924,271449,274286,276775,279478,282631,286590,291178,295011,298749,301082,303985,306207,309942,313354,318056,323264,328405,334071,338109,344411,349272,357005,364738,372329,379386,385411,391692,397849,404283,409526,415085,418224,423282,426919,430083,434594,438565,444350,447939,451517,454378,456580,459363,462910,466155,467872,468661,467896,466931,465576,464382,460799,456165,451953,447009,441948,435266,429224,422076,414921,408228,400248,390952,382725,375585,368942,361946,353368,345363,336604,331155,324758,317824,310837,306324,302836,299877,296388,294279,293510,294841,297112,295135,294348,294515,297573,299519,300674,300464,299448,296817,294976,291797,289793,291304,293235,293765,291109,287740,285930,285280,287208,289450,290653,290732,289044,287145,285642,285689,287377,290761,292497,293634,292275,292294,292620,295329,298630,301109,303138,304473,306672,307717,309264,311459,315293,319048,322779,324713,327212,329634,331556,333617,334201,334960,335950,337399,339251,340051,339984,339580,339204,341194,343573,346046,346932,349410,351328,352461,351510,350493,352128,355297,357944,356559,355113,354867,358143,359505,360492,360320,362198,364491,365265,365597,367336,369887,371939,371485,370763,370448,371370,373060,374471,376291,378576,379973,378726,380276,382553,386382,387313,388893,390624,392597,393692,393829,393456,393869,396802,398808,400002,400807,402075,402513,401687,401009,401403,402242,403562,404909,405496,405460,405916,406527,408351,410631
21050,MD,Forest Hill,178960,179289,179545,180228,180970,181838,182549,183151,183304,183368,183425,183922,184204,184436,184314,184351,184300,184303,184139,183984,184254,184731,185205,185165,185608,186123,187381,188128,188868,189126,189885,190844,192063,193169,194093,194723,194980,195419,195923,196535,196938,197435,198215,198938,199624,200047,200902,202047,203151,203908,204239,204840,205911,206965,207044,206894,206849,207579,208160,208841,209682,210640,211626,212507,213077,213837,215055,216466,217761,218786,219847,220751,221760,223162,224897,226348,227601,228820,230426,232259,234354,236394,238758,241230,244034,246761,249001,251385,254049,257240,260183,263272,266265,269498,272108,275199,278239,281661,285045,288940,293029,297069,301095,305040,309615,314131,319646,324937,329933,334083,339055,344186,349793,355127,360715,366279,370993,376185,380713,384485,386841,388528,391080,393666,396850,399051,401003,401861,401403,399870,398894,398503,400269,402661,402867,402426,400046,399758,398889,398937,399878,400644,398922,397571,394225,391142,388690,385624,384415,380740,378314,374893,371074,367707,365270,361653,357514,354789,352921,353323,350973,349691,346520,344506,343733,343688,345008,346451,350121,350435,349245,345429,343736,342618,343023,343586,344013,342235,339803,337243,333968,332688,332701,333420,333172,331716,330343,328518,325477,323838,321741,321588,321925,322095,321168,320203,320527,321054,320822,320345,320556,321462,322514,322815,322788,322917,323491,323795,322801,323596,325371,327365,328708,329369,331456,332354,331981,330960,331083,333129,335735,336290,335381,334707,335020,335543,333787,332535,332640,334103,335006,333990,332983,331900,331938,332108,332485,332768,334164,335348,336634,336707,336112,335214,335018,336399,339008,340788,342411,342832,342701,342773,342193,342709,343269,346194,347976,349200,347620,346757,345463,346434,348522,352181,354945,356768,357856,358222,358636,358728,359653,360608,361825,362270,362020,359987,360521,361333,362837,362021,361933,362421,363674,364572,365541,366271,367111,368589,368750,369064,369298,371278,372961,374504
20015,DC,Washington,309110,308717,308354,307046,305225,302790,300674,299744,300262,300206,300028,299570,299201,298633,297297,297669,298556,300621,302182,303274,302867,303169,303717,305610,308870,311825,315469,317323,320227,323102,327096,329405,331518,334743,338673,341523,341837,343259,345570,349561,353291,357664,361650,367237,373463,379209,384746,390749,399153,406911,414652,419214,424186,427102,430257,432886,436040,438188,440840,444641,448834,453078,456313,462633,467188,472474,477676,483346,489194,494798,499840,503665,507132,511198,515812,520286,526686,534559,542380,550252,557083,563202,570182,577492,584535,590207,596016,601818,607595,611632,615345,618704,622065,627327,632013,639174,648232,656344,663480,667575,673492,681181,690737,699382,709189,720570,731236,736957,738066,743509,751564,762764,770333,776851,782881,788821,793665,796326,800615,805671,810630,812793,814277,815723,816954,817939,816783,817509,817878,817192,814242,814106,816106,819751,820104,821363,822917,824683,827470,829625,832077,834704,835949,834577,830304,825271,824270,823690,821793,818252,813679,809817,807085,807528,810810,812151,818492,822543,824846,819343,814694,811471,809985,808298,806462,801272,797837,797550,796351,794057,791789,795755,802771,808245,811183,812922,812387,812637,809172,808632,807178,811243,811473,810824,805978,803634,803363,802716,804764,805418,807476,805349,805585,803846,807348,808872,811791,816028,821583,829621,836794,845876,854357,862465,865104,864049,861253,864330,874486,882132,885528,884857,883726,885468,886851,890528,897920,909129,921967,929490,929863,927665,927886,929430,931092,929418,929190,929200,928504,928437,928034,928636,928435,930048,932710,936512,940224,942846,943949,942677,940157,936014,934553,936736,942516,946210,947199,948944,950132,951504,955305,961067,970138,976692,982472,982519,978946,973518,971843,969591,969495,970499,971837,974919,974099,979448,971859,966671,963034,973555,985154,992817,999339,1007769,1016772,1023656,1029014,1030785,1042776,1055811,1064202,1061308,1055919,1057289,1059335,1059944,1060379,1062220,1067369,1073443,1078867,1084195,1093682,1106269
21085,MD,Joppa,138387,138311,138305,138298,138243,138236,138142,138181,138283,138296,138320,138345,138597,138881,139037,139207,139459,139594,139652,139449,139353,139411,139574,139772,139935,140195,140525,140671,141013,141524,142340,143230,143843,144654,145302,145937,146138,146300,146646,147222,147405,147558,148094,149058,150156,150678,151259,151908,152706,153238,153606,154018,154899,156075,156271,155864,155161,155299,155689,155989,156350,157000,157870,158687,159187,159259,159652,160393,161535,162711,163668,164620,165482,166365,167307,168149,168973,169819,171064,172409,173909,175096,176593,178287,180114,182009,183380,184930,186573,188908,191206,193519,195708,197711,199365,201170,203555,206280,209238,212168,215532,218501,221565,224606,227937,231386,235179,238922,242161,244602,247671,251328,255063,259073,262675,266759,270421,275052,279716,283855,286908,289745,292914,295465,298277,300052,302271,303312,303456,302708,302022,302121,302936,304115,303062,302495,300386,300486,299782,300147,300754,301332,299764,298160,295935,294019,293662,292389,293027,290232,288093,284742,282017,279042,276984,273839,270486,267617,265182,264139,260976,259711,257904,256612,255213,253667,253369,253399,254889,254598,252878,249478,247951,246825,246132,245198,243806,242117,240256,238744,236871,236353,236813,237133,235517,232929,230640,229032,227905,227713,226845,226237,225335,224268,222701,222336,223585,225013,225871,226148,226693,226832,227093,227085,227385,227700,228246,228012,227111,226801,226801,227291,227532,228188,229588,230593,230747,230222,230388,231698,233162,233978,233890,234246,234321,234483,232979,231796,231535,232573,233275,232899,232283,231569,231777,231383,231359,230971,231918,232796,233477,233387,232921,232240,232548,234044,236227,238004,239675,241028,241569,242064,242423,243590,244732,247105,247947,248188,247094,247138,246873,247402,248288,250307,251780,252407,252729,252599,253302,253823,254814,254964,255140,254667,254230,252727,252977,253171,253573,252965,253019,253240,253382,253522,254177,255070,255969,257247,257601,258390,259320,261148,262504,264070
24382,VA,Wytheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106396,107122,107456,108021,108012,108040,108117,108368,108740,109117,109503,110156,110292,109984,109268,109376,110196,110888,111272,111620,112074,112308,112167,111294,111499,111769,112805,112689,112951,113273,114030,113838,112809,112047,112543,113976,114711,114934,115075,116025,115984,115785,115318,116159,117884,119633,119512,118380,117375,117429,117486,117308,117724,118465,118736,119228,119431,119773,120243,121463,122907,124099,124989,125714,126405,126746,127228,126255,125337,124510,124811,124447,123899,123594,123721,123912,123860,124077,124559,126101,127371,128496,128640,129464,130290,130870,131036,131108,131473,131779,132128,132178,132272,132224,132516,132520,132587,132567,132833,133180,133533,134207,134857,135315,135572,135718,135892,135831,135986,136134,136512,136827,137386,138422,139473,140620,141222,141899,142238,142596,142803,143334,143684,144040,144183,143850,143565,143374,143749,144181,144838,145641,146452
22046,VA,Falls Church,248345,248153,247980,247542,247206,246972,246887,246948,247105,247197,247175,246972,247545,248123,248698,248915,249280,249507,249497,249220,249188,249442,250064,251003,250470,249920,249581,250489,250974,251482,252226,253698,254746,255776,256563,257549,259422,261457,263434,264626,266431,268919,271621,273266,275026,276610,278748,280735,282929,285414,287481,289623,291852,293868,296071,299235,302807,306651,309647,313100,316583,319566,322834,326390,329876,333170,336026,339260,342384,345566,349578,353548,357288,360986,365149,369435,373517,377836,382380,386191,389706,392953,396894,400465,404563,408910,413006,416624,420357,423969,428348,433379,439268,445860,451244,457044,462213,469036,475703,483357,490991,499975,508932,518803,528446,538106,547547,557520,568254,577354,587762,598417,611590,623513,635152,643609,651608,657889,665025,669902,674324,678152,681604,683153,681901,680517,678316,676777,674082,672027,669938,669127,668199,668214,667438,667907,666551,663772,660392,658148,656466,653082,648719,643936,640180,635790,630585,624480,619187,615350,611154,607422,603824,602635,601735,600964,597908,594296,590815,588300,587197,586037,586263,585567,585003,583567,583000,582663,584318,585527,587869,588425,588486,587534,586376,585656,585147,585494,584206,582758,580271,579501,577839,577472,577292,578474,579206,579423,579592,578521,579072,579716,580606,581758,583019,585396,587036,588250,589550,591120,592525,595129,597304,600068,603152,605366,608058,609656,612637,615544,618341,621486,624720,627802,630760,633257,636112,638859,641666,643872,645141,646434,648839,650212,652391,654010,656390,658042,658536,660164,660967,662549,663670,665494,666806,669371,671143,672788,673307,674293,676455,676803,678699,680294,683575,685448,687193,688333,689814,691928,694975,698967,701718,705289,706574,709283,710438,713058,715465,717888,719850,721575,724349,726349,729381,731282,735062,737128,740063,742401,744733,746419,747927,749497,752658,756632,761335,765480,769560,773156,776128,777926,780317,783421,787312,791151,793106,794700,795523,797340,798780,801229,804020,807726
23605,VA,Newport News,70336,70436,70541,70553,70545,70548,70646,70799,70730,70857,70930,71178,71269,71368,71388,71768,72093,72495,72721,72968,73223,73034,72901,72878,73247,73583,73916,74002,74161,74104,74224,74250,74963,76001,77157,77682,77905,77873,77934,78072,78537,79262,79816,80315,80436,80569,80493,80571,80761,81250,81696,82002,82059,82244,82737,83102,83011,82685,82642,82971,83377,83794,84117,84349,84557,84339,83879,83607,84008,84484,84751,84880,85028,85040,85110,85571,86012,86502,86845,87281,87685,88285,89044,89739,90504,91263,91949,92340,92638,93212,93905,94689,95308,96079,96798,97434,97949,98709,99501,100277,101273,102201,103389,104440,105950,107271,108253,109437,110686,112075,113904,116085,118508,120851,123427,126158,128341,130490,133091,135518,137816,140038,142497,145008,147060,148924,150616,152245,153709,154501,155099,156188,157522,158417,158821,158795,159251,159912,160623,161030,161470,162388,163846,164756,165354,165611,165233,164972,164480,164771,164158,163375,162776,162464,161532,160221,159260,158460,158223,157804,157384,155973,155109,154916,155098,155346,155443,155518,155043,154966,154672,154239,153878,153385,153245,152013,150299,147909,145983,144926,144392,143135,141000,139615,138193,137881,136657,136010,135483,135190,134929,134436,134066,134365,135896,136537,137104,136551,136597,137089,137432,137509,136688,135513,134292,133544,132410,131719,130616,130036,129257,128146,127119,127458,128436,129335,129539,129414,129728,129268,129092,128809,129760,130382,130567,129520,128790,129021,129169,129124,128450,128890,129042,129289,128156,127674,127544,127463,127314,126403,126603,126546,126779,126773,127313,127846,128036,127622,127344,127823,128165,128905,128806,128712,128458,128189,128134,127354,127644,128147,129093,129651,129864,129763,129202,128942,128944,129575,130153,131534,132351,133265,133576,133480,134048,134512,136094,137553,138838,139606,140144,141194,142266,143208,144197,145569,146594,147783,148417,148979,149536,150169,150921,150947
